"SEQ"	"WH"	"DEVID"	"SYSFLG1"	"SYSFLG2"	"SYSFLG3"	"SYSFLG4"	"LOGINID"	"TRDATE"	"TRTYPE"	"OPESEQ"	"RESULT"	"RSNCODE"	"TRUCKNO"	"CUSTNO"	"SHIPPN"	"SHIPQTY"	"TAGTYPE"	"PN"	"CUSTPN"	"QTY"	"TAGSEQ"	"SCANDATE"	"SCANTIME"	"REGISTERED_AT"	"REGISTERED_COMPNAME"	"REGISTERED_COMPCODE"	"SHIPNO"	"CHECKTYPE"	"FILENAME"
2080	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0016"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070053"	01-MAR-25	"034134"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2081	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0017"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034135"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2082	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0018"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070047"	01-MAR-25	"034137"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2083	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0019"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034139"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2084	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0020"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070119"	01-MAR-25	"034141"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2085	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0021"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034142"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2086	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0022"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070049"	01-MAR-25	"034144"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2087	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0023"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034147"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2088	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0024"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070064"	01-MAR-25	"034148"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2089	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0025"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034149"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2090	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0026"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070087"	01-MAR-25	"034152"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2091	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0027"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034153"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2092	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0028"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070045"	01-MAR-25	"034155"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2093	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0029"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034157"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2094	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0030"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070124"	01-MAR-25	"034206"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2095	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0031"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034207"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2096	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0032"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070162"	01-MAR-25	"034208"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2097	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0033"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034216"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2098	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0034"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070021"	01-MAR-25	"034218"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2099	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0035"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034219"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2100	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0036"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070069"	01-MAR-25	"034220"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2101	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0037"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034222"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2102	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0038"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070156"	01-MAR-25	"034224"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2103	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0039"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034227"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2104	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0040"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070080"	01-MAR-25	"034228"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2105	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0041"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034230"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2106	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0042"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070060"	01-MAR-25	"034309"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2107	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0043"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034310"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2108	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0044"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070147"	01-MAR-25	"034311"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2109	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0045"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034312"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2110	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0046"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070166"	01-MAR-25	"034314"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2111	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0047"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034315"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2112	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0048"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070158"	01-MAR-25	"034317"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2113	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0049"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034318"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2114	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0050"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070086"	01-MAR-25	"034328"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2115	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0051"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034329"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2116	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0052"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070073"	01-MAR-25	"034330"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2117	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0053"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034331"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2118	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0054"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070144"	01-MAR-25	"034333"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2119	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0055"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034334"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2120	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0056"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070184"	01-MAR-25	"034336"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2121	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0057"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034337"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2122	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0058"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070096"	01-MAR-25	"034339"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2123	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0059"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034343"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2124	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0060"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070022"	01-MAR-25	"034346"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2125	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0061"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034347"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2126	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0062"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070040"	01-MAR-25	"034348"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2127	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0063"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034348"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2128	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0064"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070081"	01-MAR-25	"034349"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2129	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0065"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034350"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2130	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0066"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070071"	01-MAR-25	"034355"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2131	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0067"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034356"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2132	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0068"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070139"	01-MAR-25	"034357"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2133	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0069"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034358"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2134	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0070"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070058"	01-MAR-25	"034359"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2135	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0071"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034400"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2136	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0072"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070039"	01-MAR-25	"034402"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2137	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0073"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034403"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2138	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0074"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070088"	01-MAR-25	"034404"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2139	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0075"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034405"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2140	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0076"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070063"	01-MAR-25	"034406"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2141	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0077"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034406"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2142	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0078"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070131"	01-MAR-25	"034409"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2143	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0079"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034410"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2144	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0080"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070077"	01-MAR-25	"034412"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2145	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0081"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034413"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2146	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0082"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070084"	01-MAR-25	"034414"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2147	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0083"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034415"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2148	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0084"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070031"	01-MAR-25	"034422"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2149	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0085"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034424"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2150	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0086"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070100"	01-MAR-25	"034431"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2151	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0087"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034432"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2152	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0088"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070160"	01-MAR-25	"034434"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2153	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0089"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034435"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
